WorkflowId,Workflow
8F328C41-ABB4-40E1-86B3-0226D6A1A217,Start --> Order : Update --> End
AD5067F0-42DE-405A-B646-022770691A76,Start --> Shopify --> Mapper --> Dynamics  NAV or BC
BF9FEB20-E6E9-48D6-8945-022A4F2599E3,Start --> Master Data Add [Item Categories]
464D69F9-E222-4096-920C-022CFDC358D9,Start --> Address Update --> End
D044DC63-717E-4C90-BCF6-0232D1A96FFC,Start --> Inventory Update
C0EFFD4A-A413-4D5F-86EE-02346F213536,Start --> Shopify --> Mapper --> SAP B1
2E54AEBF-8C04-4A43-85D0-02386C565C61,Start --> SAP B1 --> Mapper --> Magento
784B1580-5440-45E3-947D-0238ACA560A2,Start --> Product Add
20613678-7967-460E-980B-024032F178CF,Start
37A3F325-087E-45BB-8ECB-024CA235F824,Start --> Sales Orders Add --> End
8C8A2CEB-8BC7-44CA-B1B2-024D91FC60B6,Start --> Magento --> Mapper --> SAP B1 --> End
1024676E-F810-4E3E-9502-024DF9A287FB,Start
98408934-3506-4BAF-9443-025762FF650B,Start --> Magento --> Mapper --> Shopify
15604C23-ABA8-4ECC-B56C-025C91157367,Start --> SAP B1 --> Mapper --> Magento
AA9506F3-6054-4331-9D61-0262BF72FC44,Start
37D61AB1-92B9-48F7-B309-0262C47E63FF,Start --> WooCommerce --> Mapper --> Zoho Books
D72E0B4D-D53A-45C9-8DB7-02642C8CB32D,Start --> Price List Sync
B57ACCE6-B1F2-4310-B91D-026D90652003,Start --> Products Add(Part Catalogue)
A0156805-2BFD-4603-A537-027D31892B3E,Start --> Master Data Add [Attributes]  --> End
15275355-7593-4242-8D8A-027EBF19126B,Start --> Magento --> Mapper --> SAP B1 --> End
62DB041D-2518-46FF-82AC-02882917F319,Start --> SAP B1 --> Mapper --> Magento
0078B923-7DEB-4E00-B06C-02A3D6C9D5F8,Start --> Product Add [FTP] --> End
187FB357-A1D7-4362-A779-02B8762572A4,Start --> SAP B1 --> Mapper --> Magento
4742835E-CF7A-4AA3-A886-02BCAB534509,Start --> SAP B1 --> Mapper --> Magento --> End
3C6EC224-D69B-478A-891C-02C25031C3D7,Start --> Inventory Update Without Variants --> End
A5A31887-AA66-43A2-8B7E-02C62449E8E1,Start --> SAP B1 --> End
C321C1C9-C20E-4A42-83DE-02D17616E0F6,Start --> Basic Auth Woocommerce Custom App
761D43D6-7D14-469B-B608-02E11EAAEBCF,Start --> Magento --> Splitter --> Decision --> Mapper --> SAP B1
59B8BB99-F9DC-41BB-9531-02E623483C7B,Start --> SAP B1 --> Mapper --> Magento --> End
AFC2605C-2DC5-4486-898F-02EB2029E1CE,Start --> Zoho Subscription V2 --> Mapper --> Splitter --> APPSeCONNECTApp
42457450-308B-47A9-A663-02EB9C7E7D18,Start --> Product Add --> Product Response Sync --> End
EBEC6E31-B00A-48C1-A8B4-02F08436E020,Start --> Fixed Repair Item update --> End
D60BCACD-6412-492D-9880-030649A32251,Start --> Product Add
E11E8013-4373-4F6D-9E58-030B31A742AA,Start --> Magento --> Mapper --> Shopify
02119399-1425-4092-A18F-030CC9D867B5,Start --> SAP B1 --> Mapper --> Magento
87C6EA49-AA23-43C1-97FC-030CE929D54F,Start --> Shopify --> Mapper --> Dynamics 365 CRM --> End
38043609-B628-4267-8DDC-03120A31E3EA,Start --> Magento --> Splitter --> Mapper --> Merger --> Shopify
B0993D41-6F14-4885-9A2D-0319FFEE1AC5,Start --> Shopify --> Mapper --> SAP B1
9B40BCD8-B252-4AD5-B8F8-031DBB50A6E7,Start --> Incoming Payment Add --> End
08049E2A-311D-4BEA-853C-032092E6FB52,Start --> Magento --> Splitter --> Mapper --> Merger --> Shopify
87BBAD59-1CFF-47A0-9557-033703C76062,Start --> Sales Order Add --> Delivery/Shipment Add --> Invoice : Add --> Incoming Payment Add --> End
14A21F85-3E87-4DB2-9D8D-033D34B7B7A4,Start
28D2F7EB-12F9-4E4B-837C-03417E983C99,Start --> Magento --> Mapper --> Shopify
3D686257-4026-4380-8761-03487243F81B,Start --> Magento --> Mapper --> WooCommerce
A304931C-4857-4C9F-AD25-034E02184053,Start --> SAP B1 --> End
EF13196E-37F4-4184-85AE-035A3AB4E335,Start --> Con Note data sync --> End
B7600A86-B34D-4BC2-99D5-035CDF2641B7,Start --> Master Data Add [Attribute Set][DI API] --> End
801378D7-936C-418E-98CF-0378C2B43D08,Start --> Magento --> Mapper --> WooCommerce
99B5B6CD-3BA1-4C09-A5A3-038F60DE2EE2,Start --> Magento --> Mapper --> Dynamics  NAV or BC
1262CE6C-3850-4583-A85A-039067C1D9D8,Start --> Magento --> Mapper --> Shopify
8D22B306-5A89-400E-96B2-0392594F2155,Start
1DAC852B-C330-44CA-8EE1-03A3F997FA89,Start --> Magento --> Mapper --> SAP B1
